Threads,Connections,Duration,Page,Total Requests,Total Time,Data Read,Requests/Sec,Transfer/Sec,Thread Latency Avg,Thread Latency StDev,Thread Latency Max,Thread Latency +/- StDev,Thread Req/Sec Avg,Thread Req/Sec StDev,Thread Req/Sec Max,Thread Req/Sec +/- StDev,Connect Errors,Read Errors,Write Errors,Timeout Errors
3,39,10,,115249,10.00s,29.70MB,11523.7,2.97MB,4.47ms,98.66%,206.13ms,98.66%,3.86k,72.67%,5.65k,72.67%,,,,
3,40,10,,109379,10.10s,28.18MB,10829.39,2.79MB,4.30ms,98.88%,285.51ms,98.88%,3.64k,77.15%,6.02k,77.15%,,,,
3,41,10,,110699,10.10s,28.52MB,10959.99,2.82MB,4.81ms,98.56%,224.43ms,98.56%,3.68k,79.47%,6.41k,79.47%,,,,
3,42,10,,111393,10.10s,28.70MB,11030.97,2.84MB,3.92ms,75.60%,81.74ms,75.60%,3.72k,93.36%,14.09k,93.36%,,,,
3,43,10,,124115,10.10s,31.98MB,12289.11,3.17MB,4.70ms,98.72%,404.14ms,98.72%,4.13k,74.50%,6.81k,74.50%,,,,
3,44,10,,115723,10.10s,29.82MB,11457.53,2.95MB,4.47ms,98.52%,318.48ms,98.52%,3.85k,73.84%,7.33k,73.84%,,,,
3,45,10,,118493,10.10s,30.53MB,11733.13,3.02MB,4.57ms,98.79%,201.40ms,98.79%,3.96k,95.68%,13.80k,95.68%,,,,
3,46,10,,121114,10.10s,31.21MB,11992.03,3.09MB,4.84ms,98.48%,200.05ms,98.48%,4.04k,91.36%,13.90k,91.36%,,,,
3,47,10,,121858,10.10s,31.40MB,12065.67,3.11MB,3.97ms,97.22%,221.53ms,97.22%,4.07k,93.69%,14.33k,93.69%,,,,
3,48,10,,118557,10.10s,30.55MB,11738.61,3.02MB,4.19ms,80.77%,128.65ms,80.77%,3.96k,94.02%,13.67k,94.02%,,,,
3,49,10,,117563,10.10s,30.29MB,11640.38,3.00MB,5.79ms,98.19%,204.75ms,98.19%,3.93k,95.02%,13.58k,95.02%,,,,
3,50,10,,116854,10.10s,30.11MB,11569.55,2.98MB,4.38ms,96.34%,175.26ms,96.34%,3.89k,80.46%,6.70k,80.46%,,,,
4,4,10,,80590,10.10s,20.77MB,7979.58,2.06MB,502.69us,98.48%,12.56ms,98.48%,2.00k,78.22%,2.36k,78.22%,,,,
4,5,10,,80843,10.10s,20.83MB,8004.52,2.06MB,491.41us,83.36%,8.85ms,83.36%,2.01k,73.51%,2.41k,73.51%,,,,
4,6,10,,80618,10.10s,20.77MB,7982.01,2.06MB,493.68us,89.62%,8.14ms,89.62%,2.01k,74.50%,2.33k,74.50%,,,,
4,7,10,,80434,10.10s,20.73MB,7964.34,2.05MB,493.29us,89.18%,7.27ms,89.18%,2.01k,76.18%,2.39k,76.18%,,,,
4,8,10,,121773,10.10s,31.38MB,12056.76,3.11MB,1.62ms,99.11%,201.19ms,99.11%,3.04k,75.93%,4.21k,75.93%,,,,
4,9,10,,111770,10.10s,28.80MB,11066.43,2.85MB,2.01ms,98.82%,200.91ms,98.82%,2.78k,80.65%,4.95k,80.65%,,,,
4,10,10,,122128,10.10s,31.47MB,12092.5,3.12MB,661.79us,92.88%,13.94ms,92.88%,3.05k,66.50%,3.66k,66.50%,,,,
4,11,10,,119924,10.10s,30.90MB,11873.83,3.06MB,674.51us,93.30%,10.45ms,93.30%,3.00k,72.64%,3.85k,72.64%,,,,
4,12,10,,142976,10.10s,36.84MB,14156.79,3.65MB,0.95ms,95.60%,30.10ms,95.60%,3.57k,69.15%,5.08k,69.15%,,,,
4,13,10,,144333,10.10s,37.19MB,14290.71,3.68MB,0.94ms,94.69%,24.76ms,94.69%,3.59k,64.60%,4.74k,64.60%,,,,
4,14,10,,143602,10.10s,37.00MB,14217.69,3.66MB,1.47ms,99.19%,201.74ms,99.19%,3.58k,67.49%,4.73k,67.49%,,,,
4,15,10,,144624,10.10s,37.27MB,14318.94,3.69MB,0.95ms,95.55%,35.87ms,95.55%,3.60k,69.55%,4.72k,69.55%,,,,
4,16,10,,144809,10.10s,37.31MB,14337.9,3.69MB,2.37ms,98.80%,201.90ms,98.80%,3.61k,70.47%,5.05k,70.47%,,,,
4,17,10,,144431,10.10s,37.22MB,14301.05,3.68MB,1.26ms,94.41%,31.92ms,94.41%,3.60k,68.24%,5.31k,68.24%,,,,
4,18,10,,147263,10.10s,37.95MB,14580.83,3.76MB,1.23ms,94.85%,70.75ms,94.85%,3.66k,68.32%,4.84k,68.32%,,,,
4,19,10,,142584,10.10s,36.74MB,14116.72,3.64MB,4.23ms,97.50%,403.66ms,97.50%,3.58k,79.15%,5.48k,79.15%,,,,
4,20,10,,139606,10.10s,35.97MB,13823.66,3.56MB,2.78ms,98.89%,414.69ms,98.89%,3.48k,69.48%,5.27k,69.48%,,,,
4,21,10,,118619,10.10s,30.56MB,11745.04,3.03MB,2.00ms,94.98%,88.93ms,94.98%,2.97k,69.90%,6.93k,69.90%,,,,
4,22,10,,144121,10.10s,37.14MB,14270.1,3.68MB,1.53ms,92.50%,51.08ms,92.50%,3.59k,66.00%,5.10k,66.00%,,,,
